Class Label Short,File Name,Transcript
C,H_ML_001_C_F_044_016,നീയൊക്കെ സോഷ്യൽ മീഡിയയിൽ വന്ന് മൈരിലെ വർത്തമാനം എഴുതാമെങ്കിലെ നിയമം പോലും മാറിനിൽക്കുന്ന എന്നെ പോലെയുള്ള സ്ത്രീകൾ പ്രതികരിക്കും
C,H_ML_001_C_F_044_017,നീയൊക്കെ സോഷ്യൽ മീഡിയയിൽ വന്ന് മൈരിലെ വർത്തമാനം എഴുതാമെങ്കിലെ നിയമം പോലും മാറിനിൽക്കുന്ന എന്നെ പോലെയുള്ള സ്ത്രീകൾ പ്രതികരിക്കും നിന്നെയെങ്ങാനും എൻറെ അടുത്ത് കണ്ടാൽ ചെവിക്കല്ല് അടിച്ചു ഞാൻ പൊട്ടിച്ചേനെ
C,H_ML_001_C_F_044_018,വൃത്തികെട്ട വാക്ക് ഉപയോഗിക്കുന്നത് നീയാടാ എന്റെ മനസ്സിൽ വൃത്തികെട്ട നീചമായ വാക്കുകളാണ് നീ ഇവിടെ ഇട്ട് ഉപയോഗിച്ചത് ഞാൻ ആരുടെയും അടുക്കൽ വൃത്തികെട്ട വാക്ക് ഇന്നുവരെ ഉപയോഗിച്ചിട്ടില്ല എൻറെ അടുക്കൽ നിന്നെപ്പോലെയുള്ള പരമ ചെറ്റകൾ ഇങ്ങോട്ട് വന്നു സംസാരിച്ചാൽ മാത്രമേ തിരിച്ചങ്ങോട്ട് പറയുകയുള്ളൂ
C,H_ML_001_C_F_044_019,എൻറെ അടുക്കൽ ഇങ്ങോട്ട് കയറിവരുന്ന നാറിയെ ഞാൻ തുപ്പി നാറി വെക്കും
C,H_ML_001_C_F_044_020,നിന്റെ തന്തയാ പെഴച്ചത്
C,H_ML_001_C_F_044_021,നാറി നീ നിരന്തരം എൻറെ വീഡിയോ കാണുന്നില്ലടാ പട്ടി നാറി തെമ്മാടി തേവിടിശ്ശിയെ
C,H_ML_001_C_F_044_022,നാറി നിന്നെ എനിക്ക് വെട്ടി കീറാനുള്ള ദേഷ്യം ഉണ്ട്
C,H_ML_001_C_F_044_023,നിന്നെ പോലെയുള്ള നാറി കളാണ് ഇവിടെ വർഗീയ കലാപം ഉണ്ടാക്കുന്നത് കേട്ടോടാ പന്ന ചെറ്റെ
C,H_ML_001_C_F_044_024,ഇങ്ങനത്തെ തീട്ടം തിങ്ങികൾ ഒന്നും എൻറെ വീഡിയോ കകത്ത് വരരുത്
C,H_ML_001_C_F_044_025,നിന്നെപ്പോലെയുള്ള പരമ ചെറ്റകൾ  എൻറെ വീഡിയോ കടിയിൽ വരരുത്
C,H_ML_001_C_F_044_026,നീ തീട്ടം തിന്നു ജീവിക്കുന്നവനാണ് നീ കമൻറ് വായിച്ചാൽ അറിയാം
C,H_ML_001_C_F_044_027,എടാ പട്ടി നാറി തെണ്ടി ഇപ്പോഴുമെന്താണ്ട് എന്റെ വീഡിയോ കടിയിൽ
C,H_ML_001_C_F_044_028,നീയൊക്കെ എപ്പോഴും എൻറെ പിന്നാലെ കുറച്ചുകൊണ്ട് നടക്കും കുരയ്ക്കുന്ന പട്ടികൾ പരമ തെണ്ടികൾ
C,H_ML_001_C_F_049_001,എൻറെ കൈ വിടടാ പൂ മോനെ
C,H_ML_001_C_F_049_002,അവൻറെ കൈ നിന്നെപ്പോലെ ചെറ്റകൾ അല്ലടാ നമ്മൾ ഫക്കിങ് ബസ്റ്റ ഡ്
C,H_ML_001_C_F_050_001,വഴിയിൽനിന്ന് മാറടാ മൈരേ
C,H_ML_001_C_F_051_001,ഇവളുടെയൊക്കെ മുൻപിൽ കൊണ്ടുവക്കേണ്ട ആവശ്യമുണ്ടോ അവൾ വേണമെങ്കിൽ നമ്മുടെ മുന്നിൽ നിന്നും നക്കിയിട്ട് പോട്ടെ
C,H_ML_001_C_F_051_002,എന്തു വിഷു വിഷു നീ എന്തടി ആർട്ടിസ്റ്റ് എന്ന് പറഞ്ഞു നടക്കുന്നത് നീയൊക്കെ ആർട്ടി സ്റ്റഡി വല്ലതും പറയണേ മുഖത്ത് നോക്കി പറ
C,H_ML_001_C_F_051_003,പെണ്ണുങ്ങൾ എന്ന് പറയുമ്പോൾ അടക്കവും ഒതുക്കവും ഉള്ള ഡ്രസ്സിംഗ് ഒക്കെ വേണം ഇത് മറ്റേ മായാമോഹിനിയെ പോലെ വലിച്ചെടുത്ത് കാലിനിടയിൽ വെക്കൽ അല്ല ജോലി
C,H_ML_001_C_F_052_001,എടാ പൊലയാടി മോനെ എടാ പട്ടി പൂറാ എടാ പട്ടി തയോളി നിനക്ക് എന്നാടാ വെള്ള എന്നാടാ പട്ടി പൂറി  തയോളി പൊലയാടി മോനെ
C,H_ML_001_C_M_001_001,ആക്ടർ ബാല യു ആർ റോങ് റോങ് ഹി ഹി ഹി ബാല എന്താ കള്ളു കുടിച്ചിട്ടാണോ മദ്യലഹരിയിൽ ആയിരിക്കും ചെലപ്പം ല്ലേ ഇങ്ങനെയൊക്കെ ചെയ്യുന്നത് അതോ ഇനി വേറെ എന്തെങ്കിലും കാരണമുണ്ടോ
C,H_ML_001_C_M_001_002,അത് ബാല തന്നെ പരിശോധിക്കുന്നത് നല്ലതാ കാരണം ബാലകേ ബാല ഞാൻ എന്നാ പൊട്ടനാ എന്നൊക്കെ ചോദിക്കുന്നത് ശരിക്കും പൊട്ടനാണെന്ന് തോന്നുന്നുണ്ട്
C,H_ML_001_C_M_001_003,കാരണം ഇതുപോലെ ഏതെങ്കിലും വീട്ടിലേക്ക് അതിക്രമിച്ചു കയറി  അവരെന്തെങ്കിലും തലയും തല്ലിപ്പൊളിച്ച് കതകും തല്ലിപ്പൊളിച്ച് സാധനവും അടിച്ചു പൊട്ടിച്ചിട്ട് താൻ കേറി വന്നത് താൻ തന്നെ വീഡിയോ ഇട്ടിട്ടുണ്ട്. പോരാത്തതിന് അവിടത്തെ സിസിടിവി നോക്കി  കഴിഞ്ഞാൽ ഇയാള് എവിടെ കിടക്കുമെന്ന് അറിയാമോ
C,H_ML_001_C_M_001_004,ഏതെങ്കിലും വക്കീലന്മാരോടോ  വല്ലോം വിളിച്ചു ചോദിക്ക്  ഇങ്ങനത്തെ തെണ്ടിത്തരം ഒക്കെ ചെയ്യുന്നവന്മാർ അടുത്തോടാ ചെന്ന് കേറിയെങ്കില് ബാല ശരിക്കും പണി മേടിച്ചേനെ ഇന്ന്
C,H_ML_001_C_M_001_005,പിന്നെ ബാലെ പിന്നെ നമ്മൾ ഈ ഇങ്ങനത്തെ രീതിയിൽ ചെയ്യുന്ന ആൾക്കാർ അല്ലാത്തതുകൊണ്ട് അത് ഞാനുമല്ല എൻറെ കൂടെ താമസിക്കുന്നവർ  അത്തരക്കാരല്ലാത്തതുകൊണ്ട് നീ ഇങ്ങനെ നമ്മുടെ ഔദാര്യത്തിലൂടെ  നിക്കുവാ കേട്ടോ
C,H_ML_001_C_M_001_006,അല്ലാതെ നീ വലിയ ക്രെഡിറ്റ് ഒന്നും എടുക്കണ്ട നീ പിന്നെ അത് കഴിഞ്ഞിട്ട് വീഡിയോ ഒക്കെ ഇടുന്നുണ്ടല്ലോ ഞാൻ അത്രയും അല്ല ഞാൻ അങ്ങനെ അല്ല ഇവൻ അങ്ങനെ പറഞ്ഞു അവൻ അങ്ങനെ പറഞ്ഞു എന്നൊക്കെ പറയുന്നുണ്ടല്ലോ ഞാൻ അങ്ങനെ പറയുന്നവനും അത്ര ആളായിരുന്നെങ്കിൽ  നീ ഇപ്പോഅകത്തു കിടന്നേ
C,H_ML_001_C_M_001_008,അല്ലേൽ ബാല കൊണ്ടു പോയി കേസ് കൊടുക്ക് ഞാൻ അങ്ങനെ പറഞ്ഞു ഇങ്ങനെ പറഞ്ഞു. നീയാരാ നിയമമൊക്കെ കയ്യിലെടുക്കാൻ ഇവിടെ കേരളത്തിൽ ഒരു അന്യസംസ്ഥാന തൊഴിലാളിയാണ് മനസ്സിലായോ
C,H_ML_001_C_M_001_009,ഓരോ പൊട്ടത്തരം ഒക്കെ കാണിക്കുന്ന ഇവനെയൊന്നും ആരും സപ്പോർട്ട് ചെയ്യരുത് കേട്ടോ ഇവൻ പൊട്ടനാ പൊട്ടൻ എന്നല്ല പമ്പര വിഡ്ഢി
C,H_ML_001_C_M_001_010,നിന്റെ വീട്ടിൽ പോലീസ് വന്നേനെ ഇന്ന് അതൊക്കെ നമുക്കങ്ങ് ഒഴിവാക്കുന്നത് അത് നമ്മുക്ക് ഈ കള്ളത്തരവും പരിപാടി  ഇല്ലാത്തോണ്ടാ കേട്ടോ
C,H_ML_001_C_M_001_011,അല്ലാതെ നിന്നെ പോലെയല്ല തെണ്ടിത്തരം  കാണിക്കാറില്ല മനസ്സിലായോ
C,H_ML_001_C_M_001_012,ഇതൊക്കെ തെണ്ടിത്തരം അ ബാല കാണിക്കുന്നത് അത് നീ ഒന്ന് ആലോചിച്ചു നോക്കൂ വേറെ എവിടെയെങ്കിലും ആയിരുന്നെങ്കിൽ ഈ ഒരു അവസരം മുതലെടുത്ത് നിൻറെ കയ്യിൽ നിന്ന് കാശ് വരെ മേടിക്കത്തില്ലേടാ പൊട്ടാ വേറെ വല്ലവരും ആണെങ്കിൽ
C,H_ML_001_C_M_001_013,ബുദ്ധിയില്ലാത്തവനെ നീയാ പാവപ്പെട്ട ആറാടനെ പേടിപ്പിച്ച് തോക്കും കാണിച്ച് പലയിടത്തും കേറി വലിയ വീരവാദം എന്നൊക്കെ എന്താ വീഡിയോ എടുത്തേക്കുന്നു തോക്കും കാണിച്ച് ഒരുത്തനെ വീഡിയോ എടുത്തേക്കുന്നു ആ ആറാടനെ നീ തോക്ക് കാണിച്ചല്ലേ വീഡിയോ എടുത്തേ
C,H_ML_001_C_M_001_014,ഇങ്ങനെ പേടിപ്പിക്കുക ആൾക്കാരെ പേടിപ്പിച്ച് നീ വലിയ ആള് കളിക്കുക നിനക്ക് ഇങ്ങനത്തെ അവസരം ഒന്നും എപ്പോഴും കിട്ടത്തില്ല ബാല ഈ പരിപാടി നിർത്തിക്കോ ബാലാ ഇനി വേറെ എവിടെയെങ്കിലും ചെന്നാൽ ഉറപ്പാ ബാലയ്ക്ക് ഇനി പണി ബാലയുടെ ലാസ്റ്റ് പരിപാടിയായിരിക്കും ഇത്
C,H_ML_001_C_M_001_015,ഇനി ബാലയെ ആരും വിടത്തില്ല വെറുതെ ബാല അങ്ങനെ വിചാരിക്കേണ്ട ബാല അങ്ങനെ വലിയ ആള് ഒന്നും ആകേണ്ട
C,H_ML_001_C_M_001_016,പിന്നെ നിൻറെ ഭാര്യയെ പറ്റി ഞാനെന്തോ പറയുന്നുണ്ടെന്ന് പറഞ്ഞ് ആ വീഡിയോ എടുത്തു കൊണ്ട് നീ കൊണ്ടുപോയി കേസ് കൊടുക്കാത്തത് എന്തുവാ ഭാര്യയെ പറ്റി എന്തു പറഞ്ഞു എന്ന് നീ പറഞ്ഞു നടക്കുന്നത് ഇവിടെയൊ
C,H_ML_001_C_M_001_017,നീ എന്തിനാ ചാണ്ടിയുമ്മന്റെ പേരൊക്കെ പറയുന്നത് ഒരു വീട്ടിൽ അതിക്രമിച്ചു കയറി തോക്കു കാണിച്ചു ഒരുത്തനെ ഭീഷണിപ്പെടുത്തി അവിടുത്തെ സാധനം എല്ലാം വലിച്ചെറിഞ്ഞിട്ട് അവൻ ചാണ്ടിയുമ്മനെ വിളിച്ചേക്കുന്നു കണ്ടോ ചെകുത്താന്റെ വീട് ഞാൻ തല്ലിപ്പൊട്ടിച്ചിരിക്കുന്നു
C,H_ML_001_C_M_001_018,ഉടനെ ചാണ്ടിയു ഉമ്മൻ അവിടെനിന്ന് പറയുവ അയ്യോ ഒന്നും ചെയ്യല്ലേ ഒന്നും ചെയ്യല്ലേ ബാല ഒന്നും ചെയ്യല്ലേ കാരണം ഇവനൊക്കെ എവിടുന്നെങ്കിലും നിനക്കൊക്കെ എവിടുന്നേലും ചാണ്ടിയുമ്മൻ്റെ നമ്പർ ഒക്കെ കിട്ടിക്കാണും നീ വേറെ എത്ര നേതാക്കന്മാരുടെ നമ്പർ ഉണ്ടോ അവരോടെല്ലാം നീ വിളിച്ചും കാണും ഇമ്മാതിരി  തെണ്ടിത്തരം  കാണിച്ചിട്ടാണോടാ
C,H_ML_001_C_M_001_019,വിളിക്കുനെ നാണമില്ലാത്തവനെ തീരെ ഉളുപ്പില്ലാത്തവൻ നീ എവിടുത്തെ എന്തുവാ നീ പറയുന്നേ ഓരോ പൊട്ടത്തരം ഒക്കെ കാണിക്കുന്ന ഇവനെയൊന്നും ആരും സപ്പോർട്ട് ചെയ്യരുത് കേട്ടോ ഇവൻ പൊട്ടൻ പൊട്ടൻ അല്ല പമ്പരവിഡ്ഢി
C,H_ML_001_C_M_001_020,കയ്യിൽ കുറെ കാശൊക്കെ ഉള്ളതെന്ന് കൊള്ളാം പക്ഷേ അതൊന്നും അങ്ങനെ എപ്പോഴും ഒന്നും ശരിയാവത്തില്ല
C,H_ML_001_C_M_001_021,നിൻറെ കയ്യിൽ തോക്ക് ഉണ്ടോ ഇല്ലയോ എന്നൊക്കെ പോലീസ് അന്വേഷിക്കു ആയിരിക്കും എന്താണേലും ഒരു ലീഗിൽ വെപ്പണമായിട്ട് ഇറങ്ങിവന്നാൽ ഒരു പൊട്ടൻഷ്യൽ   ക്രിമിനലാണ് ബാല എന്ന് ചെലപ്പം അവർ ചിന്തിക്കുമായിരിക്കും
C,H_ML_001_C_M_001_022,നീ മിടുക്കൻ ആവണ്ട കേട്ടോ നീ മിടുക്കൻ അല്ല നീ ഒരു മണ്ടനാണ് അതു നീ മനസ്സിലാക്കിക്കൊ നീ കാണിച്ചത് അത്രയും വലിയ പൊട്ടത്തരമാ
C,H_ML_001_C_M_001_023,നിനക്കറിയാത്തതു കൊണ്ടാണ് നീ എന്തുവാ ചെയ്തതെന്ന് നിനക്ക് മനസ്സിലാകുന്നില്ല നിനക്ക് അത് മനസ്സിലാക്കാനുള്ള ബുദ്ധിയില്ല നീ വേണമെങ്കിൽ ആരോടെങ്കിലും ചോദിച്ച് ഒരു ഒരു കൺസൾട്ടേഷൻ എടുക്കൂ പോയി ഇത്രയും പൊട്ടത്തരങ്ങൾ ഞാൻ ചെയ്യുന്നുണ്ട് എന്തുകൊണ്ടാണ്  എനിക്ക് ഇങ്ങനെ ചെയ്യാൻ തോന്നുന്നതെന്ന് എന്ന് അന്വേഷിക്ക്
C,H_ML_001_C_M_001_024,നിന്റെ ലിവറിനു മാത്രമല്ല പ്രശ്നം നീ പിന്നെയും മദ്യപിച്ചിട്ടുണ്ട് അത് നീ ചെയ്യുന്ന ഏറ്റവും വലിയ മണ്ടത്തരമാണ് നീ വല്ലവന്റെയും ഒരുത്തന്റെയും ലിവറും ട്രാൻസ്പ്ലാന്റേഷൻ നടത്തിയിട്ട് വീണ്ടും കള്ളും കുടിച്ചു നടന്നിട്ട് ഇത്തരം തെണ്ടിത്തരം ആണോടാ നീ കാണിക്കുന്ന നിനക്ക് ഒരു ജീവൻ തിരിച്ചു കിട്ടിയതല്ലേടാ നാറി
C,H_ML_001_C_M_001_025,എന്നിട്ടാണോടാ നീ ഇത്ര ചെറ്റത്തരം കൊണ്ട് ഇറങ്ങുന്നേ നാട്ടുകാരുടെ നെഞ്ചത്തു കയറാൻ നീ എന്താ ഇവിടെ വന്നു കയറി കളിക്കുന്നേ  അന്യസംസ്ഥാന തൊഴിലാളിയാണ് കേട്ടോ നീ കേരളത്തുവന്നു നീ വിളയാടുകയൊന്നും വേണ്ടട്ടോ നീ അത്ര വലിയ ആളൊന്നുമാകേണ്ട ഇവിടെ കിടന്ന്
C,H_ML_001_C_M_001_026,നീ അങ്ങനെ വിചാരിച്ചിട്ടുണ്ട് എങ്കിൽ നിനക്ക് തെറ്റും നിന്നെ തെറ്റിക്കും അതു നീ വിട് നീയങ്ങനെ പേടിപ്പിക്കുകയൊന്നും ചെയ്യേണ്ട നീ എന്താണ്ട് വീഡിയോ എടുത്ത് വെച്ചിട്ടുണ്ടെനോ എന്താണ്ട് ഉണ്ടാക്കാൻ പോകുവാണെന്നോ പറഞ്ഞില്ലേ നാണമില്ലാത്തവൻ
C,H_ML_001_C_M_001_027,നിനക്ക് മനസ്സിലാവുന്നുണ്ടോ ഞാൻ പറയുന്നത് എന്തുവാ
C,H_ML_001_C_M_001_028,എന്നിട്ട് ഷോ പട്ടി ഷോ എടാ നീ ഞാനിത് ചുമ്മാ പറഞ്ഞതല്ല ബാലയ്ക്കിതു മനസ്സിലാകുന്നില്ല
C,H_ML_001_C_M_001_029,നീ നീ ഇന്ന് അകത്തു കിടക്കണ്ടവന്നാ അതായത് കേട്ടോ തെണ്ടിത്തരം ചെയ്യുന്നവര് ആണെങ്കിൽ നമ്മൾ അത്തരം ആൾക്കാർ അല്ല നമുക്ക് ഈ പരിപാടി ഇല്ല നിന്നെ പോലെ ഊളത്തരം കാണിക്കുന്ന
C,H_ML_001_C_M_001_030,അല്ലെങ്കിൽ ഇങ്ങനത്തെ തെണ്ടിത്തരം  കാണിക്കാവൂ
C,H_ML_001_C_M_001_031,കുറേയെണ്ണത്തിനെയും വാടകക്കെങ്ങാണ്ട് വിളിച്ചോണ്ട് വന്നേക്കുവാ നാണവും ഉളുപ്പുമില്ലാത്തവൻ
C,H_ML_001_C_M_001_032,എന്നിട്ട് അവൻ കിടന്നു വീഡിയോ ഇട്ടേക്കുന്നു ഞാൻ എന്തോ എന്തോ ചീത്ത പറയുന്നുവെന്ന് എന്ത് ചീത്തയാ പറഞ്ഞെ നീയെൻ എന്നിട്ട് എന്താ ആ വീഡിയോ കാണിക്കാതെ ഞാൻ ചീത്ത പറഞ്ഞ വീഡിയോ
C,H_ML_001_C_M_001_033,പിന്നെ നീ എന്നെ അടിക്കുമെന്ന് പറഞ്ഞ വീഡിയോ ഇട്ടപ്പോൾ ശരിയാ നിന്നോട് അങ്ങനെ പ്രതികരിച്ചിട്ടുണ്ട് അതു നീ എന്നെ തല്ലും എന്നു പറഞ്ഞപ്പോഴാണ് അല്ലാതെ നിന്നോട് ഒന്നും പറഞ്ഞിട്ടില്ല എന്നിട്ടും ഞാൻ പിന്നെ പറഞ്ഞിട്ടു
C,H_ML_001_C_M_001_034,അത്ര വിരോധമുള്ള രീതിയിൽ സംസാരിച്ചിട്ട് പോലുമില്ല അപ്പഴാ അവൻ കിടന്നുകൊണ്ട് ഷോ ഒരു പറ്റി ഷോ തെണ്ടി ഷോ  പാ പറയുന്നില്ല
C,H_ML_001_C_M_001_035,നീ പിന്നെ ചാരിറ്റി ചെയ്യുന്ന കാര്യം പറഞ്ഞാൽ പിന്നെ എന്താന്നോ നീ ഈ പാവങ്ങളെ ഒക്കെ വിളിച്ചിരുത്തിയിട്ട് എന്തേലും പൈസ കൊടുത്തിട്ട് അവരുടെയെല്ലാം വീഡിയോ ഇടുന്ന നാണമില്ലേടാ നിനക്ക്
C,H_ML_001_C_M_001_036,എടാ ഇവിടെ ചാരിറ്റിയും കാര്യങ്ങളും ഒക്കെ ഞാനും ചെയ്യുന്നുണ്ട് പക്ഷേ ഇമ്മാതിരി വീഡിയോ എടുത്തിടൽ അല്ല പണി അത് അതു നീ  മനസ്സിലാക്കികോ അതു നീ ചെയ്യുന്നതിന്റെ അകത്ത് ഒരു ഊളത്തരം ഉണ്ട്
C,H_ML_001_C_M_001_037,അതുകൊണ്ടാ പറഞ്ഞെ സ്വന്തം പൈസ കൊടുക്കുന്നത് എങ്കിൽ ഒരു മനുഷ്യനെയും അറിയിക്കരുത് അത് നിനക്ക് മനാസിലായോ
C,H_ML_001_C_M_001_038,നീ പിന്നെയും പിന്നെയും ഇവിടെയുള്ള പാവങ്ങളെയെല്ലാം വിളിച്ചു വീൽചെയറിൽ ഇരുത്തിയിട്ട് ഇവൻ ഇരുന്ന് വീഡിയോ ഇട്ട് കളിക്കുവാ പാവങ്ങളെ അത്രയും ഊളത്തരം കാണിക്കുന്നവനാണ് നീ
C,H_ML_001_C_M_001_039,എന്നിട്ട് ഇപ്പൊ അവൻ അതിലും വലിയ ഊളത്തരം കാണിച്ചേക്കുന്നു ചെകുത്താൻ എന്തോ പറഞ്ഞില്ലേ ഇപ്പോൾ മനസ്സിലായില്ലേ എന്നൊക്കെ ഒരുത്തനെ അവിടെ തോക്കും കാണിച്ച് ഭീഷണിപ്പെടുത്തി വീട്ടിലെ സാധനം എല്ലാം വലിച്ചുവാരി ഇടുക തള്ളിക്കയറി വീട്ടിലേക്ക് വരുക
C,H_ML_001_C_M_001_040,എന്നിട്ട് ഷോ പട്ടി ഷോ എടാ നീ ഞാനിത് ചുമ്മാ പറയുന്നതല്ല ബാലക് ഇത് മനസ്സിലാകുന്നില്ല
C,H_ML_001_C_M_001_041,ബാല ഇപ്പൊ പെടാൻ പോയാലേ എവിടെയാണെന്ന് ബാലയ്ക്കു മനസ്സിലായാലേ ബാലയ്ക്കു ആ വ്യത്യാസം  മനസ്സിലാകത്തുള്ളൂ അകത്തുള്ള ബാലയോടി ഇപ്പോഴും നമ്മൾ ആരും ഉപദ്രവിച്ചിട്ടില്ല ഇപ്പോഴും
C,H_ML_001_C_M_001_042,നീ പക്ഷേ ഉപദ്രവിക്കാനാ നടക്കുന്ന ആ ആറാട്ട്രനെ നീ ഭീഷണിപ്പെടുത്തി കാണും നീ പേടിപ്പിച്ചാണ്  ആയിരിക്കും അന്ന് മാപ്പ് പറയിപ്പിച്ചത്
C,H_ML_001_C_M_001_043,നീ അതേപോലെതന്നെ ഇവന്റെയും വീഡിയോ എടുത്തില്ലേ ഇതേ വീഡിയോ അല്ലേ നീ അവന്റെയും എടുത്തത് ഇതൊക്കെ എന്താ കണ്ട് മനസ്സിലാകത്തില്ല വിചാരിച്ചോ എന്തായാലും നീ ആ വീഡിയോ ഇട്ടത് നന്നായി അല്ലേൽ പിന്നെ അവിടെ വന്നു എന്നതിനുള്ള  തെളിവുണ്ടാക്കാൻ വേറെ പോകേണ്ടി വന്നേനെ
C,H_ML_001_C_M_001_044,ഇങ്ങനത്തെ പണി കാണിക്കാൻ നീ അങ്ങനെ അധികം ഒന്നും കാണിക്കരുത് കേട്ടോ ബാലാ
C,H_ML_001_C_M_001_045,ഒരു ബാല വന്നേക്കുന്നു ബാല ഞാനെന്താ ഒന്ന് അങ്ങോട്ടു ഉണ്ടാക്കാൻ പോവുകയാ കുട്ടികൾക്ക് വേണ്ടി നീ ഇതാണ് കുട്ടികൾക്ക് വേണ്ടി ചെയ്തത്
C,H_ML_001_C_M_001_046,എടാ ഓരോന്നൊക്കെ ചെയ്യുന്ന വിഡ്ഢിത്തരം  നിനക്ക് മനസ്സിലാകുന്നിലേ നീ എന്തു  പൊട്ടനാന്നോ ഇത്രയ്ക്കും പൊട്ടനാണോ
C,H_ML_001_C_M_001_047,ഓരോ പൊട്ടത്തരം കാണിച്ച് അവൻ വലിയ വർത്താനം പറയുന്നത് അവിടെ ഇരുന്നുകൊണ്ട്
C,H_ML_001_C_M_001_048,എടാ ഔദാര്യമാണ് കേട്ടോ നീ കൂടുതൽ ഒന്നും ഉണ്ടാക്കാനില്ല ആ പയ്യന് വല്ലതും പറ്റി എന്തെങ്കിലും  ചെയ്തിരുന്നെങ്കിൽ വല്ല അഡ്മിറ്റോ വല്ലതുമായിരുന്നെങ്കിൽ അറിയാവോ നിനക്ക് എന്തുവാ
C,H_ML_001_C_M_001_049,നീ ഇങ്ങനെയൊക്കെ വന്നു മാന്യമായി നിൽക്കുന്ന ആൾക്കാരുടെ അടുത്ത കളിക്കാവൂ ചൊറിയാവൂ
C,H_ML_001_C_M_001_050,കുറെ പൈസ പോവുമല്ലോ ബാലകനെയാണെങ്കിൽ ഇതേപോലെ നമ്മൾ ഇങ്ങനെ പോയി ഇങ്ങനെയൊക്കെ പരാതി കൊടുത്തിണ്ടിൽ
C,H_ML_001_C_M_001_051,അഡ്വക്കേറ്റും പറയുമായിരിക്കും എവിടെയാ തൊപ്പിയൂരിയെത്തും വളിയൊന്നു പറഞ്ഞപ്പോൾ ഇവരെ എന്തൊക്കെ പ്രശ്നങ്ങളാണെന്ന്
C,H_ML_001_C_M_001_052,എന്തോ മോഹൻലാൽ ഫാൻസ് കാര് വന്ന് സപ്പോർട്ട് ചെയതോ ബാലയെ ഫേസ്ബുക്കിലെ അതും കണ്ട് ഇങ്ങനെ ഇളിച്ചു കൊണ്ടിരിക്കുകയാണോ നീ ഒറ്റ കാര്യം മനസ്സിലാക്കികോ
