Class Label Short,File Name,Transcript
C,H_TA_003_C_M_010_006,அது மட்டும் இல்ல நீங்க புரொடியூஸ் பண்ண வள்ளி படத்திலும் வண்டு ஃபுல் சாங்ஸ் ஓட பியூட்டிஃபுல் சாங்ஸ் இல்ல வள்ளி வந்து கார்த்திக் பண்ணாங்க. சாமி பண்ணல. வள்ளி படத்தில் இருக்கிற பாடல்கள் எல்லாம் கார்த்திக் ராஜா அவர்கள் தான் போட்டார் என்ற மாதிரி ஓப்பனா  அவ்ளோ பேரு ஸ்டேஜ்ல அவ்ளோ கேமராக்கு முன்னாடி எல்லாம் இளையராஜாவுக்கு மொக்க கொடுக்கிற மாதிரி ஒரு பதிலை சொன்னதுக்கு அப்புறம் இளையராஜா பேச முடியல
C,H_TA_003_C_M_010_005,சரஸ்வதியை விட லட்சுமி இல்ல சாமி இப்போ ஏதோ சூப்பர்ன்னு கேக்கல ஏதோ சொல்லி அது வருதுல்ல காசா நீங்க வேலையே செய்யலாம்னு சும்மா கம்போஸ் பண்ணாம சும்மா படுத்திருந்தாலும் உங்களுக்கு அப்படியே வந்து ராயல்டி என்ற பெயரில் வந்து கூட்டிட்டு தான் இருக்க போகுது காலத்துக்கு
N,NH_TA_001_N_F_007_001,எங்க வீட்ல படிப்புக்கு முக்கியத்துவம் கொடுத்து படிச்சா தான் எல்லாம் கிடைக்கும் என்று சொல்லி வளர்த்தாங்க பெண்கள் கல்யாணத்துக்கு மட்டுமே இன்று சொல்லாமல் படித்து தான் சமுதாயத்தில் ஒரு ஆளாக வேண்டும் என்று நினைப்பவர்கள்
N,NH_TA_001_N_F_008_001,எவனோ சொல்றேன் வெள்ளையா இருந்தா அழகு  அது தாழ்வு மனப்பான்மை உன்னுடைய உயிர் உன்னுடைய நிறத்தை வைத்து தீர்மானிக்கப்படுவது அல்ல
N,NH_TA_001_N_F_009_001,வள்ளுவர் மிகவும் தீர்க்கமாக இந்த குரலை எழுதி இருக்கிறார் இந்த உலகத்தில் நமக்கு யார் செய்த உதவியும் நன்மையும் மறக்கலாம் ஆனால் செய்நன்றி என்றும் மறக்கக்கூடாது
N,NH_TA_001_N_F_015_001,இந்த சமுதாய மாவட்டம் சுத்தி இருக்க மனிதர்கள் ஆகட்டும் என்னடா நீ இப்படி பேசுறாங்கன்னு நினைச்சுகிட்டு இருக்க கூடாது அவங்க இப்படித்தான் சொல்லிட்டு போயிட்டே இருக்கணும் நம்மளே சுத்தி இருக்கவங்களுக்கு தெரியும் நாம எப்படி என்று
N,NH_TA_001_N_F_016_001,நாம் யாருமே வானத்தை நட்சத்திர ரசிகர்கள் இல்லை ஆனா அது இருக்க நிலாவ தான் ரசிக்கிறோம் அப்ப நான் முடிவு பண்ணேன் நான் வாழ்க்கையில மற்றவர்களை விட டிப்பரெண்ட்டா இருக்கேன் என்று என்ன நெனச்சு பெருமையடைந்து
N,NH_TA_001_N_M_001_001,தயவுசெய்து யாருக்கும் துரோகம் பண்ணாதீங்க துரோகம் பண்ணாம வாழ்ற வாழ்க்கை சிறந்த வாழ்க்கை இந்த இடத்துல அவங்க எனக்கு கேட்ட கேள்வி அவர் என்ன விட்டுப் போனாரு அவருக்கு குற்ற உணர்ச்சி இருக்காதா அதுவே அவர கொல்லாதா எதுவுமே இங்க ஃபர்ஸ்ட் லைன் திருப்பி ஆரம்பிக்க முடியாது
N,NH_TA_001_N_M_002_001,நம்மள மாதிரி ஜெயிக்கணும்னு நினைக்கிறவங்களுக்கு நிறைய தடைகள் வரும் ஆனா நம்ம என்ன பண்ணனும் அதை தாண்டி போய்க்கிட்டே இருக்கணும் அப்பதான் ஜெயிக்க முடியும் ஒரு கடல் மாரி ஆள் இருந்தாலும் சரி ஆள் இல்லனாலும் சரி அதோட வேலையை அது பார்த்துக்கிட்டே இருக்கும்
N,NH_TA_001_N_M_003_001,இது உங்க வீட்டு ஆளுங்களா இருந்தா உங்க அக்கா தங்கச்சி அம்மா இருந்தா இப்படி பேசுவீங்களா அதனால யாரையும் இப்படி கேரக்டர் அசாஸினேட் பண்ணாதீங்க
N,NH_TA_001_N_M_003_002,"ஏன் அடுத்தவங்க தாழ்வு படுத்தும்போது மட்டும் எதிர்காம சந்தோஷப்படுத்துகிறீர்கள், இதை வக்கிர புதினு சொல்லுவாங்க அடுத்தவன் அழுகையில் சந்தோஷம் காண்பது"
N,NH_TA_001_N_M_003_003,நீங்க ஒன்னு தெரிஞ்சுக்கணும் அடுத்தவங்கள பாத்து உங்க கிட்ட வந்து குறை சொல்றாங்க அந்த கேரக்டர் நாளைக்கு உங்களை பத்தி இன்னொருத்தர் கிட்ட குறை சொல்லும் யாருமே யார்கிட்டயும் சகஜமா பேச முடியல
N,NH_TA_001_N_M_004_001,இப்ப இருக்க பசங்க ரொம்ப நல்ல பசங்க முன்னாடி இருக்க ஆளுங்க எல்லாம் ஒரு பத்து ரூபா கொடுத்தா கூட அது பெரிய விஷயமா சொல்லுவாங்க இப்ப இருக்குறவங்க 200 ரூபாய் பாக்கெட்ல இருந்து எடுத்து கொடுத்துட்டு கண்டுக்காம அப்படியே போயிடுறாங்க இப்ப இருக்க பசங்க எல்லாம் ரொம்ப நல்ல பசங்க
N,NH_TA_001_N_M_005_001,நம்ம வாழ்க்கையில எண்ணிக்கலாம் கீழ விழுறோமோ அன்னைக்கு எல்லாம் நம்மள புடிச்சு தாங்குறவரா ஆண்டவர் இயேசு இருக்காரு அதனால எதை நினைச்சேன் கவலைப்படாதீங்க நம்ம வாழ்க்கை ஆரம்பத்துல அற்பமாக இருக்கலாம் ஆனால் முடியும் போது சமர்ப்பமாக இருக்கும்
N,NH_TA_001_N_M_006_001,உங்களை ஒருத்தங்களுக்கு பிடிக்கலைன்னா நீங்க என்ன நல்லது போல உங்க குறை சொல்லிட்டு தான் இருப்பாங்க அதனால அவங்கள கண்டுக்காம உங்களுக்கு புடிச்ச அவங்கள பெருமைப்படுத்துவதற்கும் சந்தோஷப்படுத்துவதற்கும் என்ன செய்யணுமோ அதை பண்ணுங்க
N,NH_TA_001_N_M_010_001,உனக்கு வாழ்க்கையில் நான் எப்படி ஆகணும் இப்படி ஆகணும் கனவு இருந்தாலும் சரி உன்னால அப்படி ஆக முடியும் வாழ்க்கையில் சாதிக்கணும்னு வெறி இருக்கணும் சரித்திரம் படைக்கணும் உன் கனவை விட்டுக் கொடுக்க முன்னாடி போயிட்டே இருந்தேனா வெற்றி நிச்சயம் உனது தான்
N,NH_TA_001_N_M_010_002,தினமும் உன் கனவுக்காக உழைத்துக் கொண்டே இருந்தேனா குறைந்தபட்சம் ஒரு மணி நேரமாவது உன் கனவுக்காக வேலை செய்தேனா ஒரு நாள் நிச்சயமாக எதிர்காலத்தை உருவாக்க முடியும்
N,NH_TA_001_N_M_011_001,என்ன கஷ்டம் இருந்தாலும் தன்னம்பிக்கை இருந்தா வைராக்கியம் இருந்தா வாழ்க்கையில் ஜெயிக்க வேண்டும் என்று வெறி இருந்தா கண்டிப்பா எந்த பிரச்சினைல இருந்து வெளியே வரலாம்
N,NH_TA_001_N_M_011_002,நமக்கு செரினா வில்லியம்ஸ் தெரியும் அவங்களுக்கு ஒரு மிகப்பெரிய நோய் தன்னம்பிக்கை அதனால் அந்த நோயிலிருந்து வெளியே வருந்து இன்றும் நம்பர் ஒன் பிளேயராக விளையாடிக் கொண்டிருக்கிறார்
N,NH_TA_001_N_M_012_001,நீரின் உடைய அருமை பயிர் தெரியும் நிலத்தின் அருமை கதிரில் தெரியும் பணத்தின் அருமை வறுமையில் புரியும் மகனின் அருமை பாசத்தில் புரியும் ஆனால் மனைவியின் அருமை அவள் இறந்த பெண்ணே தெரியும்
N,NH_TA_001_N_M_013_001,ஒரே நாளில் எவனும் கோடீஸ்வரன் ஆக முடியாது அப்படியான அந்த பணம் நிலைக்காது எவன் கஷ்டப்படு சம்பாதிக்கிறானோ அவனுக்கு தான் அந்த பணத்தோட அருமை தெரியும் அப்பதான் அவன் படத்தையும் காப்பாத்துவான் தன்னையும் காப்பாத்துவான்
N,NH_TA_001_N_M_014_001,கடவுள் இருக்கான்னு சொல்றான் பாரு அவன நம்பலாம் கடவுள் இல்லை என்று சொல்கிறான் கூட நம்பலாம் ஆனால் நான்தான் கடவுள் என்று சொல்கிறேன் உன்னை நம்பவே கூடாது அடுத்தவங்களுக்கு எந்த நோய் வரக்கூடாதுன்னு சொல்லிக்கிட்டு சுத்தப்படுத்துறீங்க பாத்தீங்களா நீங்க தான் உண்மையான கடவுள் உங்களை தான் பாராட்டணும்
N,NH_TA_001_N_M_015_001,ஒரு மனுஷன் தனக்குள் எப்படி இருக்கிறார் அப்படித்தான் அவங்க மத்தவங்க கிட்டயும் இருப்பாரு உங்க கிட்ட அன்பா இருந்தா அவர் எளிமையிலேயே அன்பானவர்னு அர்த்தம் யாராச்சு நான் மேல கடுமையா இருந்தாங்கன்னா அவங்க மேல நம்ப நேரத்தை வீணடிக்காமல் நம்ம மேல பாசமா இருக்கவங்க மேல அதை காட்டலாம்
N,NH_TA_001_N_M_016_001,வெறி வேணும் வாழ்க்கை எதை சாதிக்கணும்னு வெறி வேணும் சும்மா சுடவே சூடு தேன் கத்துக்கிட்டே இருந்தா ஒன்னும் பண்ண முடியாது எது எதுல வந்தாலும் அடிச்சிட்டு ஓடணும் அப்பதான் சாதிக்க முடியும்
N,NH_TA_001_N_M_017_001,வாழ்க்கையில் சரி கிரவுண்ட்லே சரி நிதானமா இருக்கணும் வாழ்க்கையில் அவசரப்பட்டா சறுக்கி விழுந்திரும்
N,NH_TA_001_N_M_018_001,ஆத்திரமோ சந்தோஷமோ நீ எடுக்கிற முடிவு ஒரு அஞ்சு நிமிஷம் தள்ளி வை அந்த அஞ்சு நிமிஷத்துல உன் மனசு சாந்தி அடைந்துவிடும் அப்புறம் நீ எடுக்கிற முடிவு தெளிவா இருக்கும்
N,NH_TA_001_N_M_019_001,தனது சக்தியை அறிந்து ஒரு மனிதர் செயலாற்றினால் தன்னால் முடியாதது எதுவுமே இல்லை சிகரத்தை தொடுவதற்கு எளிமையான வழி எதுவுமில்லை கடினமான உழைப்பே ஒரு மனிதன் வெற்றிக்கு அடையாளம்
N,NH_TA_001_N_M_020_001,எக்காரணத்தைக் கொண்டும் யாருடைய டி மோட்டிவேஷனுக்கும் பயப்படாதீங்க யாரோட புகழ்ச்சிக்கோ அடிமை ஆகாதீங்க எல்லாத்தையும் காது கொடுத்து கேளுங்க வளர்ச்சிக்காக பயன்படுத்துங்க வீழ்ச்சிக்காக பயன்படுத்தாதீங்க
N,NH_TA_001_N_M_021_001,நாம நல்லா இருக்கணும்னா நம்ம யோசனை நல்லா இருக்கணும் எப்பவும் ஆக்கபூர்வமா சிந்தனையில் கவனம் செலுத்துங்கள் கெட்ட சிந்தனைகள் வந்தால் அதை ஹாப்பி சிந்தனைகளாக மாற்றிக் கொள்ளுங்கள்
N,NH_TA_001_N_M_022_001,எல்லாருக்கும் நல்லவனா வாழனும்னு நினைக்காதீங்க யாராலும் அப்படி முடியாது இந்த உலகத்துல எல்லாராலும் ஏற்றுக் கொள்ளப்பட்ட தத்துவம் என்று ஒன்னும் கிடையாது வென்றவன் தோற்றவன் என்று எல்லாருக்கும் வரலாற்றில் இடம் உண்டு ஆனால் வேடிக்கை பார்ப்பானுக்கும் விமர்சிப்பவனுக்கும் இடம் கிடையாது
N,NH_TA_001_N_M_023_001,கரன் கிட்ட உன் உயிரை தானமாக கொடு என்று கேட்பான் அர்ஜுனன் இடம் சொல்வான் இவன் செய்த தர்மத்திற்கு எந்த ஈடும் இல்லை அப்பொழுதுதான் நாம் புரிந்து கொள்ள வேண்டும் இந்த உலகத்தில் மிகப்பெரிய சக்தி தர்மம் ஒன்றே
N,NH_TA_001_N_M_024_001,கர்ணன் கிட்ட உயிரை கெஞ்ச போது தான் அர்ஜுனனுக்கு புரியுது தர்மத்தின் வலிமை வேற எதுக்கும் கிடையாது அப்படின்னு
N,NH_TA_001_N_M_026_001,நம்ம  மனசாட்சிக்கு நம்ம உண்மையா இருந்தா போதும் இப்ப நான் நிம்மதியா தூங்கணும்னா நான் என் மனசாட்சிக்கு தோன்றத பண்ணா தான் செய்ய முடியும்
N,NH_TA_001_N_M_028_001,வி ஹேவ் டு ரன் போயிட்டே இருக்கணும் ஓடிக்கிட்டே இருக்கணும் அதை என்னைக்காவது ஒரு நாள் நடந்திடும் அதை நடத்துவதற்கு நாம் என்னலாம் பன்னி சஷ்டியின் வைக்கணும் அதெல்லாம் நாம் பண்ணிக்கிட்டே இருக்கணும் எப்பயுமே இருக்கறது நம்ம செலிப்ரேட் பண்ணனும் இருக்குறத வச்சு என்ஜாய் பண்ணனும்
N,NH_TA_001_N_M_029_001,தோல்வியை கண்டு சோர்ந்து விடாதே அப்படி சோர்ந்துட்டா என்ன பண்ணுவ ஒரு மூலையில போய் உட்காருவேன் உன்னால முடியாது எவனாலும் முடியாது அதை நீ நம்பனும் முதல்ல நம்பிக்கை இருந்தால் கண்டிப்பாக நடக்கும்
N,NH_TA_001_N_M_030_001,யார் சொல்ற அட்மிஷன் கேட்காதீங்க தயவு செஞ்சு அவங்கவங்களுக்கு அவங்க அவங்களுக்கு பிடிச்ச அட்வைஸ் சொல்லுவாங்க என்ன தோணுதோ அதை செய்யுங்க
N,NH_TA_001_N_M_031_001,உங்களைப் பற்றி விமர்சனம் வந்தால் முடிந்த மட்டும் மௌனத்தால் அதை உதிர்ந்து இருந்து விட்டு போக வேண்டும் விமர்சனங்களை புறம் தள்ளி  ஓடிக்கொண்டே இருங்கள்
N,NH_TA_001_N_M_032_001,நம்ம இதெல்லாம் வாழ்க்கையில முக்கியம் நினைக்கிறோமோ அது எதுவுமே முக்கியமில்லை தேவையில்லாத விஷயத்த யோசிச்சு டைம் வேஸ்ட் பண்ணாம எது நமக்கு முக்கியம் அதை மட்டும் போதும் நமக்கு சின்ன லைப் சிம்பிள் நினைச்சீங்கன்னா அது போதும் பணம் சந்தோஷம் தரும் என்று நினைத்தீர்கள் என்றால் எந்த பணக்காரனும் சந்தோஷமாக இல்லை
N,NH_TA_001_N_M_033_001,லைஃப்ல பெருசா செய்யணும் ஆசை பட்டீங்கன்னா ரிஸ்க் எடுக்கணும் நம்ம எவ்ளோ கேவல ரிஸ்க் எடுக்குறோமோ அவ்வளவுக்கவ்வளவு லைஃப்ல பெருசா போகும் அந்த ரிஸ்க்ல தான் நம்ம தெரிஞ்சுப்போம் அந்த ரிஸ்க்கை முழுசா தெரிஞ்சு செயல்பட வேண்டும் அதுல நெகட்டிவா போனா என்ன ஆகும் பாசிட்டிவா போனா என்ன ஆகும் என்று தெரிந்து ரிஸ்க் எடுக்க வேண்டும்
N,NH_TA_001_N_M_034_001,ஒரு ஐந்து வருடங்கள் முன்னாடி நமக்கு ஒரு பெயிண்ட் ஃபுல் மெமரி இருந்திருக்கும் நாம் அழுது இருக்கலாம் ஆனா ஐந்து வருடங்கள் கழித்து அந்த செயலை நாம் நல்லா இருப்பதற்கு காரணமாக இருக்கவும்
N,NH_TA_001_N_M_035_001,ஆண்டவன் இருக்க சோதிக்கிறோம்னு நினைச்சா பனிஷ்மென்ட் கொடுக்கணும்னு நினைச்சா அவன் கேட்பதெல்லாம் கொடுத்துடுவான் அவனுக்கு தேவை எல்லாம் கிடைத்துவிட்டால் எக்சைட்மென்ட் போயிடும் ஒருத்தருக்கு கிடைக்காமல் போனால் மட்டுமே அவனுக்கு ஆவல் இருக்கும் கவலை இருக்கும் மன வலிமை இருக்கும்
N,NH_TA_001_N_M_036_001,நிம்மதி இழந்து இருக்கேன் அவமானப்படுத்தப்பட்டு இருக்கேன் ஏமாற்றப்பட்டு இருக்கோம் கண்ணீர் சிந்திக்கிறேன் அமைதி இழந்து இருக்கிறேன் ஒன்றை இழந்தால் மட்டுமே இன்னொன்று கிடைக்கும்
N,NH_TA_001_N_M_037_001,லைப் எல்லாம் கிடைத்துவிடும் அம்மா அப்பா மனைவி ஆனா நல்ல நண்பன் கிடைப்பது கஷ்டம் அது ரொம்ப கடினமான விஷயம்
N,NH_TA_001_N_M_038_001,பொறக்கறவன் எல்லாம் ஜெயிக்கிறதுக்கு பொறக்கல ஏன் தோற்பதற்கு பிறக்கக் கூடாது அப்படி என்கிற கேள்வியை எல்லாரும் கேட்கணும் அவரால் ஜெயிக்க முடியும் என்றால் ஏன் நம்மால் முடியவில்லை. நம்ம நம்ம துறையை தேர்ந்தெடுப்பது நாம் ஜெயிக்கிறதுக்கு பிறந்து இருக்கிறோம் தோற்பதற்கு அல்ல என்று புரிந்து கொள்ள வேண்டும்
N,NH_TA_001_N_M_039_001,வெற்றி அடையும் போது யாரும் மதம் ஜாதி என்று எதுவும் பார்ப்பதில்லை எந்த மொழி கூட பார்ப்பதில்லை சம் டைம்ஸ் அதற்கு தேவையான டைம் ஒரு வருடம் இரண்டு வருடம் அல்லது இருவது வருடம் கூட பார்க்கலாம் ஆனால் உன்னுடைய வெற்றி வீரனை நீ கொண்டு வர வேண்டும்
N,NH_TA_001_N_M_041_001,எந்தத் துறையில் கஷ்டம் இல்லை எல்லா தொழிலும் கஷ்டம் இருக்கு நான் இருபது வருடமாக இந்த துறையில் இருக்கிறேன் எனக்கு பின்னாடி வந்து ஜெயித்தவர்களும் இருக்கிறார்கள் எனக்கு முன்னாடி வந்து இன்னும் உழைத்துக் கொண்டே பிற்பகல் இருக்கிறார்கள் அவர்களைப் பார்த்து நாம் வருத்தப்படவும் தேவை இல்லை இன்னொருவரை பார்த்து நாம் சந்தோஷப்படவும் தேவையில்லை நாம் நமது உழைப்பை போட்டுக் கொண்டே இருக்க வேண்டும்
N,NH_TA_001_N_M_042_001,எதை நம்ப கரெக்டா நினைச்சு பண்றோமோ நம்ம நேர்மையா நாம் எதிர்பார்த்து நம்மை வந்து சேரும் தவறான பாதையில் சென்றால் நமக்கு வர வேண்டியதும் சிதைந்து விடும் நம் எண்ணம் போல் வாழ்க்கை நாம் எண்ணம் தான் நம்மளை ஜெயிக்க வைக்கும்
N,NH_TA_001_N_M_044_001,எதுக்காகவும் எந்த ரீசன் காகவும் உங்களை பிடித்தவர்களே கைவிடாதீர்கள் ஆயிரம் பேர் என்ன வேணாலும் சொல்லலாம் ஆனால் உங்களுக்கு அவரை பிடித்தார் எக்காரணத்தைக் கொண்டும் அவர்களை கைவிடாதீர்கள்
N,NH_TA_001_N_M_045_001,எந்த விஷயத்திலும் சரி நாம் விழுந்தால் நாம் தான் கை ஊன்றி எந்திரிக்க வேண்டும் இன்னொருத்தர்கள் தூக்கி விடனும் என்று நாம் எதிர்பார்க்கவே கூடாது நம்பலே எந்திரிச்சா தான் நம்ம மேல நமக்கு நம்பிக்கை வரும்
N,NH_TA_002_N_F_001_001,சொல்வதை மறுப்பதற்கு உனக்கு உரிமை உண்டு. ஆனால் என்னை பேசாதே என்று கூறுவதற்கு உரிமை இல்லை யார் சொல்லி இருந்தாலும் எங்கு படித்திருந்தாலும் நானே சொன்னாலும் உனது புத்திக்கும் பொது அறிவுக்கும் பொருந்தாத எதையும் நம்பாதே
N,NH_TA_002_N_F_005_001,பெத்தாக எழ வேண்டும் என்று இயற்கை அனுதினமும் நமக்கு உன்ன மட்டும் உணர்த்திக்கொண்டே இருக்க முயன்றால் முடியும்னு
N,NH_TA_002_N_M_002_001,எது வேணாலும் நீங்க அச்சீவ் பண்ணலாம் அதுக்கு வாழ்வில் லட்சுமி இருக்க வேண்டும் லட்சியம் அடையக்கூடிய அந்த அறிவு தேடிப் பெற வேண்டும்
N,NH_TA_002_N_M_002_002,உழைக்க வேண்டும் பிரச்சனையை கண்டு பயப்படக்கூடாது பிரச்சினையை போக்க வேண்டும் வாழ்வில் அனுபவம் வேண்டும் இது இருந்தா நம்ம வாழ்க்கையில் என்றென்றும் வெற்றிதான்
N,NH_TA_002_N_M_003_001,மொத்தமா 1000 சொல்லுவா அதெல்லாம் காதுல வாங்காத ஏன்னா அவனும் ஒரு காலத்துல நெருப்பு சுடும்டா அப்படின்னு அவங்க அம்மா சொன்னதை கேட்காம சூடு வாகன தான் இருப்பான் எப்படி இருக்கும்
N,NH_TA_002_N_M_004_001,ஒழுக்கம்தான் வாழ்க்கைல ரொம்ப இம்போர்ட்டண்ட் ஒழுக்க இல்லைன்னு சொன்னாலும் எதிலுமே முன்னேற முடியாது
N,NH_TA_002_N_M_006_001,தன்னம்பிக்கை இருந்தால் வைராக்கியம் இருந்தால் வாழ்க்கையில் நம்ம ஜெயிக்கணும் கண்டிப்பா அந்த சூழ்நிலையில் இருந்து வெளியே வந்து ஒரு சாதனையாளர் ஆக முடியும் 
N,NH_TA_002_N_M_006_002,தன்னம்பிக்கை இருந்தால் எப்படி ஒரு சூழ்நிலை இருந்தாலும் ரொம்ப வெளியே வர முடியும் கெட்ட எண்ணங்கள் ரொம்ப வரும் அதுக்கு நல்ல எண்ணங்கள் மட்டுமே நினைக்கணும்
N,NH_TA_002_N_M_007_001,உங்களை அதிகமாக நிராகரித்தது என்றால் மிகப்பெரிய மரியாதை உங்க வாழ்க்கையில் காத்துக் கொண்டிருக்கிறது என்பது அர்த்தம்
N,NH_TA_002_N_M_008_001,அடுத்தவனை பார்த்து பொறாமை படக்கூடாது அது உங்களுக்கு திருப்பி எப்படியாவது வரும்னு நினைச்சீங்கன்னா அதுவும் வரும்
N,NH_TA_002_N_M_009_001,ஹியூமன் பீயிங் ஒரு மேக்னெட் மாதிரி எதை ரொம்ப பிலீவ் பண்றோமோ அதை ரொம்ப அட்ராக்ட் பண்ணுவோம்
N,NH_TA_002_N_M_009_002,உங்க கோல் என்னவா இருந்தாலும் நெகடிவ்வா யோசிக்கிறப்போ உங்கனால எதுவுமே முடியாது ஆனால் பாசிட்டிவா யோசிக்கிறப்ப அந்த கோல் போடுறதுக்கு என்னென்ன ஆப்ஷன் இருக்கு அதெல்லாம் உங்க மேன் தானா யோசிப்போம்
N,NH_TA_002_N_M_010_001,இல்லாத ஒரு வாய்ப்பு உருவாக்குவோம் எனக்கு தெரியும் அந்த வாய்ப்பு கைலழகி போனா இழுத்து தக்க வச்சுக்கோ என்று தெரியும்
N,NH_TA_002_N_M_011_001,யாருமே இல்லனாலும் நீங்க தனியா இருந்தாலும் ஒரு விஷயம் பண்ண முடியுமா எந்த லெவலுக்கு வேணாலும் நீ போகலாம் அதுக்குள்ள தான் எனக்குள்ளே வச்சுக்கிட்டேன் அதுக்குள்ள வாழ்க்கையில முன்னேறனும்னா அடுத்தவன் என்ன பண்ணான் என்று பார்க்காதீங்க அடுத்து நீ என்ன பண்ணனும் மட்டும் பாரு
N,NH_TA_002_N_M_012_001,ஒரு சிங்கம் எவ்வளவு பசித்தாலும் கொள்ளை உண்ணாது சிங்கத்தை போல இருங்கள் பசியின் காரணமாக உங்கள் தரத்தை ஒருபோதும் குறைக்காதீர்கள் ஏனென்றால் மற்றவர்கள் அதைத்தான் உங்களிடம் இருந்து எதிர்பார்க்கிறார்கள்
N,NH_TA_002_N_M_012_002,எனவே ஒரு நதி போல வாழ முயற்சி செய்யுங்கள் உங்கள் கடந்த காலத்தை மறந்து விட்டு எதிர்காலத்தில் கவனம் செலுத்துங்கள் எப்போதும் நல்லதையே எண்ணங்கள்
N,NH_TA_002_N_M_012_003,நமக்கு நல்ல வாழ்க்கையோ கெட்ட வாழ்க்கையோ வழங்கப்படவில்லை நமக்கு ஒரு வாழ்க்கை கொடுக்கப்பட்டுள்ளது அதை நல்லதாகவும் கெட்டதாகவோ மாற்றுவது நம் கையில் தான் உள்ளது
